id;code;name;is_child;parent_id;translate_key;order_no;fa_icon;router_link
1;afore fooey dreamily;eyeball finally meanwhile;0;19160;overtax badly;2569;over in;alongside usually
2;yippee around noisil;amid circa intently;1;11646;meager excel excepting;21043;which;fickle
3;saddle misinterpret;wordy array;1;2589;excluding without;21734;absentmindedly with and;what
4;yet overgraze wherea;fulfill;1;1787;unwitting;5566;weekly;dense
5;grizzle upwardly in;er ouch partition;1;10709;quirky;15538;felony;politely
6;although cupola;of;1;21378;mistake several;11392;towards whoever;supposing
7;without;wink instead customize;1;6541;circa left pouch;4381;whether fiercely;secondary grip
8;subtitle fast rigidl;several denominator citron;1;18191;why;16280;captain;bitterly
9;yippee;loads;0;26212;rough psst oversleep;11521;desegregate;likewise aha soft
10;meek;whoa nor inborn;0;5;speech labor which;30091;grave left phooey;agriculture weakly
