id;code;name;translate_key;order_no;fa_icon;router_link
1;than;during solemnly huzzah;supposing;21027;behind shipyard supposing;uh-huh
2;vice;even;er novel;12131;sadly yet coolly;that joyously
3;regarding;basic whoever;retool nightclub seaside;14889;whoa if;thongs without phew
4;whereas rebellion;instill via terribly;back;14484;strictly lest;hm hm
5;merge up however;good-natured dot unimpressively;ack even university;15868;amidst regularly;as when attest
6;decision-making ugh;simplistic;creosote grotesque;3077;nicely;excepting
7;mediocre given;whereas;black;25891;incorporate;quixotic keyboard what
8;what supposing mmm;inset now;furthermore well;3955;deafening;monthly defiantly since
9;authorise crossly;antique deserted resurface;mundane past;28401;editing validate enroll;brr now syndicate
10;till pentagon store;oof dissimulate;behind consequently eggplant;16636;past pish strafe;offshore lemon
