id;size;dine_in_price;take_away_price;delivery_price;product_id;created_by;last_modified_by
1;during after;12337.16;8084.38;23195.41;1;system;system
2;than;16666.4;19213.41;15391.21;1;system;system
3;what weakly;8974.44;24744.71;31246.81;1;system;system
4;how regale vaguely;24782.69;6805.1;8000.18;1;system;system
5;lion sire reassess;24218.51;26104.4;23809.74;1;system;system
6;oh;31702.68;8916.69;5895.28;1;system;system
7;though healthily bah;27624.98;27567.68;5392.58;1;system;system
8;plaintive;9967.92;9249.2;9287.8;1;system;system
9;blah;17863.96;18350.61;15017.28;1;system;system
10;following like duh;9425.14;21454.15;9775.04;1;system;system
